arm,outer_fold,candidate,candidate_order,n_layers,epochs,macro_f1,accuracy
vmd,4,compact_once,0,2,60,0.6175236743981427,0.6569230769230769
vmd,4,compact_once,0,2,80,0.6162601864470422,0.6569230769230769
vmd,4,reupload_2,1,2,20,0.6169364046417999,0.6546153846153846
vmd,4,reupload_2,1,2,40,0.6159068359779295,0.6584615384615384
vmd,4,reupload_2,1,2,60,0.61427216925152,0.6546153846153846
vmd,4,reupload_2,1,2,80,0.6126228996746446,0.6546153846153846
vmd,4,reupload_3,2,3,20,0.5394339557132941,0.5869230769230769
vmd,4,reupload_3,2,3,40,0.5328430651908396,0.5846153846153846
vmd,4,reupload_3,2,3,60,0.5372800965123823,0.5884615384615385
vmd,4,reupload_3,2,3,80,0.5388354952012201,0.5907692307692308
wst,0,compact_once,0,2,20,0.5569614348988048,0.5921875
wst,0,compact_once,0,2,40,0.5555368036615375,0.59140625
wst,0,compact_once,0,2,60,0.5627875894705187,0.59921875
wst,0,compact_once,0,2,80,0.5580962532176724,0.5953125
wst,0,reupload_2,1,2,20,0.5487159316408978,0.58046875
wst,0,reupload_2,1,2,40,0.5465652619232345,0.57890625
wst,0,reupload_2,1,2,60,0.5510418743647488,0.58359375
wst,0,reupload_2,1,2,80,0.5496968146403651,0.5828125
wst,0,reupload_3,2,3,20,0.5405987810007994,0.5796875
wst,0,reupload_3,2,3,40,0.5548865662398278,0.59609375
wst,0,reupload_3,2,3,60,0.5616087862346769,0.6046875
wst,0,reupload_3,2,3,80,0.5632971493260182,0.60703125
wst,1,compact_once,0,2,20,0.6051342579970459,0.6361538461538462
wst,1,compact_once,0,2,40,0.5859059325549328,0.6207692307692307
wst,1,compact_once,0,2,60,0.5865348196677125,0.6215384615384615
wst,1,compact_once,0,2,80,0.5845597257459213,0.62
wst,1,reupload_2,1,2,20,0.5828458364159337,0.6153846153846154
wst,1,reupload_2,1,2,40,0.5724655083824944,0.6076923076923076
wst,1,reupload_2,1,2,60,0.5721128155922974,0.61
wst,1,reupload_2,1,2,80,0.5714045101700641,0.6107692307692307
wst,1,reupload_3,2,3,20,0.5595365415958228,0.5976923076923077
wst,1,reupload_3,2,3,40,0.5367021835337717,0.583076923076923
wst,1,reupload_3,2,3,60,0.5421792287427266,0.5876923076923077
wst,1,reupload_3,2,3,80,0.5438784895116896,0.59
wst,2,compact_once,0,2,20,0.5906263652915564,0.6376923076923077
wst,2,compact_once,0,2,40,0.592459232548793,0.6423076923076924
wst,2,compact_once,0,2,60,0.592575253911437,0.6423076923076924
wst,2,compact_once,0,2,80,0.587145340623518,0.6361538461538462
wst,2,reupload_2,1,2,20,0.6460679860362532,0.6876923076923077
wst,2,reupload_2,1,2,40,0.6259058886978798,0.6676923076923077
wst,2,reupload_2,1,2,60,0.6195861534637714,0.6653846153846154
wst,2,reupload_2,1,2,80,0.6197788076788963,0.666923076923077
wst,2,reupload_3,2,3,20,0.576340852060499,0.6292307692307693
wst,2,reupload_3,2,3,40,0.5831844247166128,0.64
wst,2,reupload_3,2,3,60,0.5876356299466322,0.6438461538461538
wst,2,reupload_3,2,3,80,0.5862077324884605,0.6415384615384615
wst,3,compact_once,0,2,20,0.6598046899595624,0.6815384615384615
wst,3,compact_once,0,2,40,0.6588507463611403,0.6846153846153846
wst,3,compact_once,0,2,60,0.6535627712126891,0.6807692307692308
wst,3,compact_once,0,2,80,0.6526790919716019,0.6807692307692308
wst,3,reupload_2,1,2,20,0.6396376796463956,0.6684615384615384
wst,3,reupload_2,1,2,40,0.6532500556091644,0.6784615384615384
wst,3,reupload_2,1,2,60,0.649417979747871,0.6746153846153846
wst,3,reupload_2,1,2,80,0.6493836292525677,0.6746153846153846
wst,3,reupload_3,2,3,20,0.6219327530640538,0.6584615384615384
wst,3,reupload_3,2,3,40,0.6037002278611937,0.6423076923076924
wst,3,reupload_3,2,3,60,0.6040625505986096,0.6430769230769231
wst,3,reupload_3,2,3,80,0.6085137870174652,0.6492307692307693
wst,4,compact_once,0,2,20,0.5574288670667408,0.61
wst,4,compact_once,0,2,40,0.5660895715969069,0.6153846153846154
wst,4,compact_once,0,2,60,0.5655600464309375,0.6161538461538462
wst,4,compact_once,0,2,80,0.564457049936846,0.6146153846153846
wst,4,reupload_2,1,2,20,0.5766283690181407,0.6238461538461538
wst,4,reupload_2,1,2,40,0.5783668085467916,0.6246153846153846
wst,4,reupload_2,1,2,60,0.5759429243078144,0.6215384615384615
wst,4,reupload_2,1,2,80,0.5772403047182583,0.6238461538461538
wst,4,reupload_3,2,3,20,0.5449776744595108,0.5876923076923077
wst,4,reupload_3,2,3,40,0.5554126860141401,0.5946153846153847
wst,4,reupload_3,2,3,60,0.5566233596875677,0.5969230769230769
wst,4,reupload_3,2,3,80,0.5600125829444242,0.6023076923076923
