phase,arm,outer_fold,inner_fold,candidate,seed,started,status,finished,seconds,train_n,val_n,parameters,steps,checkpoints,artifact,choice,test_n
inner,wst,4,0.0,reupload_3,0,2026-09-22T04:08:37.396283+00:00,complete,2026-09-22T04:11:39.057903+00:00,196.51863687900004,880,420.0,129,2240,"{'20': {'accuracy': 0.6095238095238096, 'macro_f1': 0.5829624163866174}, '40': {'accuracy': 0.6190476190476191, 'macro_f1': 0.5992135197323093}, '60': {'accuracy': 0.6309523809523809, 'macro_f1': 0.6094995083447508}, '80': {'accuracy': 0.6452380952380953, 'macro_f1': 0.6215682846549275}}",inner/wst_o4_i0_reupload_3.json,,
inner,wst,4,1.0,compact_once,0,2026-09-22T04:08:57.313080+00:00,complete,2026-09-22T04:11:03.150110+00:00,135.73717938200025,860,440.0,111,2160,"{'20': {'accuracy': 0.6022727272727273, 'macro_f1': 0.5432886021121316}, '40': {'accuracy': 0.6, 'macro_f1': 0.5459864884757589}, '60': {'accuracy': 0.5931818181818181, 'macro_f1': 0.5399043299625708}, '80': {'accuracy': 0.5886363636363636, 'macro_f1': 0.53433341516751}}",inner/wst_o4_i1_compact_once.json,,
inner,wst,4,1.0,reupload_2,0,2026-09-22T04:09:32.746173+00:00,complete,2026-09-22T04:11:52.391069+00:00,149.54526744800023,860,440.0,111,2160,"{'20': {'accuracy': 0.5863636363636363, 'macro_f1': 0.543239110938226}, '40': {'accuracy': 0.6, 'macro_f1': 0.544565394672461}, '60': {'accuracy': 0.5840909090909091, 'macro_f1': 0.5359844020680614}, '80': {'accuracy': 0.5886363636363636, 'macro_f1': 0.5373345186525476}}",inner/wst_o4_i1_reupload_2.json,,
inner,wst,4,1.0,reupload_3,0,2026-09-22T04:10:09.424456+00:00,complete,2026-09-22T04:12:57.185107+00:00,182.60863200099993,860,440.0,129,2160,"{'20': {'accuracy': 0.575, 'macro_f1': 0.5179558479396963}, '40': {'accuracy': 0.5818181818181818, 'macro_f1': 0.5220058201507555}, '60': {'accuracy': 0.5795454545454546, 'macro_f1': 0.5229619303235454}, '80': {'accuracy': 0.5795454545454546, 'macro_f1': 0.5208524171668533}}",inner/wst_o4_i1_reupload_3.json,,
inner,wst,4,2.0,compact_once,0,2026-09-22T04:10:17.819851+00:00,complete,2026-09-22T04:12:20.798015+00:00,132.87858199900074,860,440.0,111,2160,"{'20': {'accuracy': 0.5909090909090909, 'macro_f1': 0.5262858827728221}, '40': {'accuracy': 0.6045454545454545, 'macro_f1': 0.5385127417385482}, '60': {'accuracy': 0.6113636363636363, 'macro_f1': 0.5414697688776804}, '80': {'accuracy': 0.6090909090909091, 'macro_f1': 0.5401791540354964}}",inner/wst_o4_i2_compact_once.json,,
inner,wst,4,2.0,reupload_2,0,2026-09-22T04:11:03.163254+00:00,complete,2026-09-22T04:13:04.208382+00:00,130.94562763100112,860,440.0,111,2160,"{'20': {'accuracy': 0.6181818181818182, 'macro_f1': 0.5553163102861899}, '40': {'accuracy': 0.6, 'macro_f1': 0.5499163130742079}, '60': {'accuracy': 0.6090909090909091, 'macro_f1': 0.5596738493059563}, '80': {'accuracy': 0.6136363636363636, 'macro_f1': 0.567297117099662}}",inner/wst_o4_i2_reupload_2.json,,
inner,wst,4,2.0,reupload_3,0,2026-09-22T04:11:39.073090+00:00,complete,2026-09-22T04:13:55.400147+00:00,148.70674016299927,860,440.0,129,2160,"{'20': {'accuracy': 0.5795454545454546, 'macro_f1': 0.5347754590051509}, '40': {'accuracy': 0.5840909090909091, 'macro_f1': 0.5414094022425322}, '60': {'accuracy': 0.5818181818181818, 'macro_f1': 0.5368253968253968}, '80': {'accuracy': 0.5840909090909091, 'macro_f1': 0.537514980296187}}",inner/wst_o4_i2_reupload_3.json,,
outer,vmd,0,,,0,2026-09-22T04:13:57.938948+00:00,complete,2026-09-22T04:14:50.501990+00:00,55.0343157770003,1280,,111,800,,outer/vmd_o0_seed0.json,"{'arm': 'vmd', 'outer_fold': 0, 'candidate': 'reupload_2', 'candidate_order': 1, 'n_layers': 2, 'epochs': 20, 'macro_f1': 0.5981541577304103, 'accuracy': 0.62109375}",340.0
outer,vmd,0,,,1,2026-09-22T04:14:45.805956+00:00,complete,2026-09-22T04:15:34.362842+00:00,53.50085249199947,1280,,111,800,,outer/vmd_o0_seed1.json,"{'arm': 'vmd', 'outer_fold': 0, 'candidate': 'reupload_2', 'candidate_order': 1, 'n_layers': 2, 'epochs': 20, 'macro_f1': 0.5981541577304103, 'accuracy': 0.62109375}",340.0
outer,vmd,0,,,2,2026-09-22T04:16:22.459294+00:00,complete,2026-09-22T04:17:11.882768+00:00,54.37192187999972,1280,,111,800,,outer/vmd_o0_seed2.json,"{'arm': 'vmd', 'outer_fold': 0, 'candidate': 'reupload_2', 'candidate_order': 1, 'n_layers': 2, 'epochs': 20, 'macro_f1': 0.5981541577304103, 'accuracy': 0.62109375}",340.0
outer,vmd,1,,,0,2026-09-22T04:13:57.942555+00:00,complete,2026-09-22T04:16:22.447995+00:00,154.40479753,1300,,111,2460,,outer/vmd_o1_seed0.json,"{'arm': 'vmd', 'outer_fold': 1, 'candidate': 'compact_once', 'candidate_order': 0, 'n_layers': 2, 'epochs': 60, 'macro_f1': 0.6311016535478311, 'accuracy': 0.6661538461538462}",320.0
outer,vmd,1,,,1,2026-09-22T04:14:46.616899+00:00,complete,2026-09-22T04:17:06.623612+00:00,152.3866405530007,1300,,111,2460,,outer/vmd_o1_seed1.json,"{'arm': 'vmd', 'outer_fold': 1, 'candidate': 'compact_once', 'candidate_order': 0, 'n_layers': 2, 'epochs': 60, 'macro_f1': 0.6311016535478311, 'accuracy': 0.6661538461538462}",320.0
outer,vmd,1,,,2,2026-09-22T04:16:22.667635+00:00,complete,2026-09-22T04:18:33.014062+00:00,142.72584477999953,1300,,111,2460,,outer/vmd_o1_seed2.json,"{'arm': 'vmd', 'outer_fold': 1, 'candidate': 'compact_once', 'candidate_order': 0, 'n_layers': 2, 'epochs': 60, 'macro_f1': 0.6311016535478311, 'accuracy': 0.6661538461538462}",320.0
outer,vmd,2,,,0,2026-09-22T04:13:57.949154+00:00,complete,2026-09-22T04:15:33.322768+00:00,102.78443063699888,1300,,111,1640,,outer/vmd_o2_seed0.json,"{'arm': 'vmd', 'outer_fold': 2, 'candidate': 'compact_once', 'candidate_order': 0, 'n_layers': 2, 'epochs': 40, 'macro_f1': 0.6725166290629856, 'accuracy': 0.6976923076923077}",320.0
outer,vmd,2,,,1,2026-09-22T04:14:51.257261+00:00,complete,2026-09-22T04:16:23.614439+00:00,102.25808775299993,1300,,111,1640,,outer/vmd_o2_seed1.json,"{'arm': 'vmd', 'outer_fold': 2, 'candidate': 'compact_once', 'candidate_order': 0, 'n_layers': 2, 'epochs': 40, 'macro_f1': 0.6725166290629856, 'accuracy': 0.6976923076923077}",320.0
