model,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_sensitivity,macro_specificity,sens_ARR,spec_ARR,prec_ARR,f1_ARR,support_ARR,sens_CHF,spec_CHF,prec_CHF,f1_CHF,support_CHF,sens_NSR,spec_NSR,prec_NSR,f1_NSR,support_NSR,cm,patient_accuracy,patient_balanced_accuracy,patient_macro_f1,patient_macro_sensitivity,patient_macro_specificity,patient_cm,n_windows,fold
vmd_new_seed1,0.7058823529411765,0.7669444444444444,0.6978413129771117,0.7103793407077434,0.7669444444444444,0.8632783882783883,0.605,0.9214285714285714,0.9166666666666666,0.7289156626506025,200,0.8333333333333334,0.8607142857142858,0.5617977528089888,0.6711409395973154,60,0.8625,0.8076923076923077,0.5798319327731093,0.6934673366834172,80,"121,32,47;7,50,3;4,7,69",0.75,0.8518518518518517,0.7662337662337663,0.8518518518518517,0.8910256410256411,"5,1,3;0,3,0;0,0,4",340,0
vmd_new_seed1,0.80625,0.8074074074074074,0.7881435938922033,0.8073716250379208,0.8074074074074074,0.8972832722832722,0.7888888888888889,0.8642857142857143,0.8819875776397516,0.8328445747800586,180,0.7333333333333333,0.9192307692307692,0.676923076923077,0.7040000000000001,60,0.9,0.9083333333333333,0.7659574468085106,0.8275862068965516,80,"142,17,21;15,44,1;4,4,72",0.9375,0.8888888888888888,0.9157894736842106,0.8888888888888888,0.9523809523809524,"9,0,0;1,2,0;0,0,4",320,1
vmd_new_seed1,0.74375,0.7505555555555556,0.7038656362504825,0.7562185380379551,0.7505555555555556,0.8799145299145299,0.735,0.9166666666666666,0.9363057324840764,0.823529411764706,200,0.8,0.8307692307692308,0.5217391304347826,0.6315789473684211,60,0.7166666666666667,0.8923076923076924,0.6056338028169014,0.6564885496183206,60,"147,30,23;7,48,5;3,14,43",0.875,0.9333333333333332,0.8677248677248678,0.9333333333333332,0.9487179487179488,"8,1,1;0,3,0;0,0,3",320,2
vmd_new_seed1,0.61875,0.5907407407407407,0.5803619915307435,0.6226507022738332,0.5907407407407407,0.7928724053724054,0.6555555555555556,0.7071428571428572,0.7421383647798742,0.6961651917404129,180,0.4666666666666667,0.8923076923076924,0.5,0.4827586206896552,60,0.65,0.7791666666666667,0.49523809523809526,0.5621621621621622,80,"118,23,39;18,28,14;23,5,52",0.6875,0.6203703703703703,0.6148148148148148,0.6203703703703703,0.8235653235653236,"7,1,1;1,1,1;1,0,3",320,3
vmd_new_seed1,0.671875,0.6927777777777778,0.6388665883746847,0.6855907796601821,0.6927777777777778,0.839957264957265,0.645,0.8583333333333333,0.8835616438356164,0.7456647398843931,200,0.7166666666666667,0.8461538461538461,0.5180722891566265,0.6013986013986015,60,0.7166666666666667,0.8153846153846154,0.4725274725274725,0.5695364238410596,60,"129,35,36;5,43,12;12,5,43",0.6875,0.6777777777777777,0.6402116402116402,0.6777777777777777,0.8418803418803419,"7,2,1;0,2,1;1,0,2",320,4
vmd_original_seed2,0.7058823529411765,0.6980555555555555,0.6775579096766681,0.7099337468472976,0.6980555555555555,0.8363553113553114,0.715,0.75,0.8033707865168539,0.7566137566137566,200,0.6666666666666666,0.8821428571428571,0.547945205479452,0.6015037593984963,60,0.7125,0.8769230769230769,0.6404494382022472,0.6745562130177516,80,"143,29,28;16,40,4;19,4,57",0.8125,0.8425925925925926,0.8102240896358542,0.8425925925925926,0.8989621489621489,"7,1,1;0,3,0;1,0,3",340,0
vmd_original_seed2,0.7875,0.7842592592592593,0.7644042232277526,0.7902714932126697,0.7842592592592593,0.8887057387057387,0.7777777777777778,0.8571428571428571,0.875,0.823529411764706,180,0.7,0.8923076923076924,0.6,0.6461538461538462,60,0.875,0.9166666666666666,0.7777777777777778,0.823529411764706,80,"140,22,18;16,42,2;4,6,70",0.9375,0.8888888888888888,0.9157894736842106,0.8888888888888888,0.9523809523809524,"9,0,0;1,2,0;0,0,4",320,1
vmd_original_seed2,0.69375,0.6072222222222222,0.6076488881174069,0.6913682563898627,0.6072222222222222,0.8115384615384617,0.805,0.65,0.7931034482758621,0.7990074441687344,200,0.43333333333333335,0.9115384615384615,0.5306122448979592,0.47706422018348627,60,0.5833333333333334,0.8730769230769231,0.5147058823529411,0.5468749999999999,60,"161,13,26;27,26,7;15,10,35",0.75,0.6333333333333333,0.6412698412698412,0.6333333333333333,0.8376068376068376,"9,0,1;2,1,0;0,1,2",320,2
vmd_original_seed2,0.559375,0.5703703703703704,0.540636178891792,0.5661519917187016,0.5703703703703704,0.7720543345543346,0.5277777777777778,0.7357142857142858,0.7196969696969697,0.608974358974359,180,0.5333333333333333,0.8346153846153846,0.4266666666666667,0.4740740740740741,60,0.65,0.7458333333333333,0.46017699115044247,0.538860103626943,80,"95,37,48;15,32,13;22,6,52",0.8125,0.8888888888888888,0.8424242424242424,0.8888888888888888,0.9166666666666666,"6,0,3;0,3,0;0,0,4",320,3
vmd_original_seed2,0.690625,0.7222222222222223,0.664898183731519,0.7018150266198728,0.7222222222222223,0.8476495726495726,0.65,0.8583333333333333,0.8843537414965986,0.7492795389048991,200,0.6833333333333333,0.8923076923076924,0.5942028985507246,0.6356589147286822,60,0.8333333333333334,0.7923076923076923,0.4807692307692308,0.6097560975609756,60,"130,24,46;11,41,8;6,4,50",0.8125,0.8222222222222223,0.7973684210526315,0.8222222222222223,0.8931623931623932,"8,0,2;1,2,0;0,0,3",320,4
vmd_new_seed2,0.6411764705882353,0.6738888888888889,0.6256064949981149,0.6464903771024705,0.6738888888888889,0.8158424908424907,0.58,0.7928571428571428,0.8,0.672463768115942,200,0.6666666666666666,0.8392857142857143,0.47058823529411764,0.5517241379310345,60,0.775,0.8153846153846154,0.5636363636363636,0.6526315789473685,80,"116,40,44;16,40,4;13,5,62",0.6875,0.7407407407407408,0.6868686868686869,0.7407407407407408,0.8434065934065934,"5,1,3;1,2,0;0,0,4",340,0
